url,category,version,title,pdf
https://docs.dominodatalab.com/en/5.7/user_guide/fcd594/revert-a-project/,user_guide,5.7,Revert a Project,en_5.7_user_guide_fcd594_revert-a-project.pdf
https://docs.dominodatalab.com/en/5.7/admin_guide/57f42d/reset-password/,admin_guide,5.7,Reset password,en_5.7_admin_guide_57f42d_reset-password.pdf
https://docs.dominodatalab.com/en/5.7/api_guide/f31cde/model-monitoring-api-reference/,api_guide,5.7,Model Monitoring API Reference,en_5.7_api_guide_f31cde_model-monitoring-api-reference.pdf
https://docs.dominodatalab.com/en/5.7/admin_guide/eb6a88/aws-credential-propagation/,admin_guide,5.7,AWS credential propagation,en_5.7_admin_guide_eb6a88_aws-credential-propagation.pdf
https://docs.dominodatalab.com/en/5.7/admin_guide/bc00bd/sso-group-and-role-synchronization/,admin_guide,5.7,SSO group and role synchronization,en_5.7_admin_guide_bc00bd_sso-group-and-role-synchronization.pdf
https://docs.dominodatalab.com/en/5.7/admin_guide/76e38c/domino-cloud-sso-integration/,admin_guide,5.7,Domino Cloud SSO integration,en_5.7_admin_guide_76e38c_domino-cloud-sso-integration.pdf
https://docs.dominodatalab.com/en/5.7/user_guide/bd3a62/api-token/,user_guide,5.7,API token,en_5.7_user_guide_bd3a62_api-token.pdf
https://docs.dominodatalab.com/en/5.7/admin_guide/c5ca24/create-domino-cloud-users/,admin_guide,5.7,Create Domino Cloud users,en_5.7_admin_guide_c5ca24_create-domino-cloud-users.pdf
https://docs.dominodatalab.com/en/5.7/user_guide/dd93d4/connect-to-amazon-s3/,user_guide,5.7,Connect to Amazon S3,en_5.7_user_guide_dd93d4_connect-to-amazon-s3.pdf
https://docs.dominodatalab.com/en/5.7/user_guide/f66a1b/troubleshoot-the-model-monitor/,user_guide,5.7,Troubleshoot the Model Monitor,en_5.7_user_guide_f66a1b_troubleshoot-the-model-monitor.pdf
https://docs.dominodatalab.com/en/5.7/user_guide/bb88ca/monitoring-config-json/,user_guide,5.7,Monitoring Config JSON,en_5.7_user_guide_bb88ca_monitoring-config-json.pdf
https://docs.dominodatalab.com/en/5.7/user_guide/33ea62/data-source-security-and-sharing/,user_guide,5.7,Data Source security and sharing,en_5.7_user_guide_33ea62_data-source-security-and-sharing.pdf
